fpl_code,team,player,pos,cost,2025-10-18,2025-10-19,2025-10-20,2025-10-24,2025-10-25,2025-10-26,2025-11-01,2025-11-02,2025-11-03,2025-11-08,2025-11-09,2025-11-22,2025-11-23,2025-11-24,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-27,total_pts,ppm
488024,CRY,Yeremy,M,7.2,3.53,0.0,0.0,0.0,0.0,2.74,3.56,0.0,0.0,0.0,3.39,3.24,0.0,0.0,0.0,3.35,0.0,3.53,0.0,0.0,3.03,0.0,0.0,3.02,0.0,0.0,3.6,0.0,3.89,36.88,5.12
494595,LIV,Wirtz,M,11.2,0.0,2.24,0.0,0.0,2.7,0.0,3.33,0.0,0.0,0.0,2.84,3.49,0.0,0.0,0.0,3.42,0.0,4.09,0.0,3.33,0.0,0.0,3.23,0.0,0.0,3.94,0.0,0.0,4.25,36.87,3.29
463067,BHA,Georginio,M,7.3,3.58,0.0,0.0,0.0,3.35,0.0,3.67,0.0,0.0,0.0,3.09,3.59,0.0,0.0,0.0,3.17,0.0,3.33,0.0,0.0,3.68,0.0,2.86,0.0,0.0,3.83,0.0,0.0,2.52,36.67,5.02
432422,NEW,Tonali,M,7.8,3.28,0.0,0.0,0.0,3.3,0.0,0.0,3.46,0.0,0.0,3.27,2.97,0.0,0.0,3.19,0.0,3.42,0.0,0.0,3.67,0.0,0.0,0.0,3.89,0.0,3.03,0.0,0.0,3.04,36.52,4.68
440089,BRE,Damsgaard,M,8.4,0.0,0.0,3.67,0.0,3.21,0.0,3.13,0.0,0.0,0.0,3.22,3.14,0.0,0.0,3.73,0.0,0.0,2.71,0.0,3.37,0.0,0.0,0.0,3.52,0.0,3.33,0.0,0.0,3.31,36.33,4.33
222531,NFO,Gibbs-White,M,8.7,3.56,0.0,0.0,0.0,0.0,3.31,3.47,0.0,0.0,0.0,3.68,2.94,0.0,0.0,0.0,3.4,0.0,3.33,0.0,3.07,0.0,0.0,0.0,3.51,0.0,0.0,0.0,3.03,3.01,36.32,4.17
60689,NFO,Wood,F,10.3,2.59,0.0,0.0,0.0,0.0,3.35,3.6,0.0,0.0,0.0,3.79,2.96,0.0,0.0,0.0,3.4,0.0,3.44,0.0,3.03,0.0,0.0,0.0,3.79,0.0,0.0,0.0,3.12,3.17,36.25,3.52
215136,NFO,N.Williams,D,7.9,3.34,0.0,0.0,0.0,0.0,2.76,3.29,0.0,0.0,0.0,4.3,2.07,0.0,0.0,0.0,3.45,0.0,3.71,0.0,3.67,0.0,0.0,0.0,3.45,0.0,0.0,0.0,3.22,2.82,36.09,4.57
427623,CRY,Richards,D,7.3,3.43,0.0,0.0,0.0,0.0,2.14,3.52,0.0,0.0,0.0,3.26,3.51,0.0,0.0,0.0,3.3,0.0,4.31,0.0,0.0,3.01,0.0,0.0,2.56,0.0,0.0,3.63,0.0,3.35,36.02,4.93
247632,CHE,Neto,M,7.7,2.25,0.0,0.0,0.0,4.63,0.0,3.62,0.0,0.0,3.89,0.0,3.74,0.0,0.0,0.0,2.68,0.0,3.17,0.0,2.91,0.0,0.0,3.07,0.0,0.0,2.82,0.0,0.0,3.23,36.0,4.68
465247,MUN,Lammens,G,7.3,0.0,2.18,0.0,0.0,3.52,0.0,3.54,0.0,0.0,2.82,0.0,0.0,0.0,4.01,0.0,2.8,0.0,0.0,3.83,0.0,0.0,3.54,0.0,0.0,3.45,0.0,2.98,0.0,3.19,35.87,4.91
154566,TOT,Solanke,F,9.9,0.0,1.27,0.0,0.0,0.0,3.38,3.68,0.0,0.0,3.76,0.0,0.0,2.81,0.0,3.58,0.0,3.25,0.0,0.0,4.01,0.0,0.0,0.0,3.52,0.0,3.26,0.0,0.0,3.32,35.83,3.62
